score,content
5,the game is great audio background etc are all great but one thing i do not like is the wish system i do not have a five star character all i have got are four star character so it is suck to be a free to play unless you save a lot or primogems one good thing about it is you do not need a five star character to beat and enjoy the game though i do need the mc though as she can upgrade her constellations with just lvling up rank or the story progress yeah it is hard to earn primogems i guess i better sucked it up
4,the world building characters art design and game play are fantastic and among the best in the genre the gacha mechanics are a bit egregious unfortunately i understand the developers deserve to be appropriately compensated for making a game of this caliber but rolling for characters is kind of a nightmare due to insanely low drop rates that do interfere with my enjoyment of the game otherwise this is a five star experience
4,this game is fun but at the time that fontaine was release my screen started to stop and now i cannot play anymore is there somehow any way to fix it i really wanna play i need help pleaseeeeee
4,this game is beautiful and the game is very fun and cool but the downloading recorces thing is annoying cause i have to wait for a really long time and it really frustrates me
4,lost on furina banner but all together it is a good game with nice graphics and gameplay
1,after years of waiting still no controller support for android so star still live on feels like apple has pay mihoyo to not giving android controller support scum apple or scum for both apple and hoyoverse even at four still no controller support for android heck you give starrail android controller support from the get go that further proven that you make a deal with apple
4,i love genshin but there is only one problem and its the fact you cant switch in between playstation and mobile pc which is really annoying as it would be great to be able to play with a controller without having to restart
4,awesome graphics if your phone can handle and render them xd when played for the first time it gives a whole different level of experience and controls are realistic with a top notch bgm and other sound effects very well built game by the developers
1,i do not know what is happening but when i clicked start game it said not enough storage and no matter how many apps i deleted it still said the same
5,the story is at peak level and not to mention the graphics i think its worth the size
3,ngl games great but my storage cannot keep up maybe something like having the choice to delete quest files before actually entering the game like these files take up like five six gb and my phone is kind of in the sweet spot of being able to download the game after quest files are deleted and cloud is not a good alternative for obvious reasons
5,this is a very interesting and long term story game with awesome characters storyline main story and terrain even though getting characters might be hard it is still perfectly enjoyable and comfortable with just our main character i definitely recommend
5,the games a very beautiful and the story and lore just gets intense after every update which i like if u want a fighting adventurous and lore game this is for u
5,it is amazing and it does have a weird fandom but i do not mind the problem is that i cannot always play because i keep logging off but i do not mind it since it does happen all the time overall the characters chef kiss and quality delicious i do hope that there will not be an ending to this game since it does have tons of theorys and lores which i love the most overall best game i have ever played play this game if you like guys and girls hehe
5,i soooooo love the game i played it since twenty twenty but i cannot play it anymore in my phone because of insufficient storage so i had to drop the game i will be back soon ig
3,the game is heavy if your using phone when playing this game can take half of your storage because there is a lot of update
1,i hate it when the screen turns black and i have to read what should be a cutscene the game is popular hard to believe they do not have the money for it
4,giving this game a four stars instead of five because the characters are amazing and even the graphics are gold but the stories that you have to complete is soooo boring and they are so bad and yet sometimes so hard to do and it takes forever to discover the new worlds but ethier way the game is pretty good i do recommend it if your only looking for good graphics and fighting
4,this game is very good they are very generous with the content however there are things that can be improved first the resin there are so many things to do here that requires resins raise the resin to at least forty or sixty and players will be happy second the rng ik the devs will probably do nothing about it but i really hope there is some way to make the rng a little bit better tt third please put a skip button sometimes like during the npcs event dialogues they make my head ache
2,so the game is great and all i was playing the game and streaming it but i myself ran into a problem you cannot do character creation and customization and i did not realise till later that you had to pay to level a character and weapons items not to be honest that part got under my skin so i literally stopped mid stream and decided i would not stream the game do not get me wrong the game is great and i did enjoy it for a bit until i realized i was not making money in game so yeah
5,i love this game sm it is really fun and the characters designs are so cool i really enjoy the newest region as well
5,i played this on the playstation i enjoyed it but it got hard to get items for leveling characters so i lost interest but was feeling nostalgic so i downloaded it on my cell phone so far it is exactly how i remembered it and the graphics are awesome and it is fairly easy to play
